00001177768	ROYAL SALUTE 38	36500	22780,4
00001258643	ROCKS TORO	120	85,7143
00001453767	HENNESSY 5CL	375	257,08
00001481972	ROCKS CORONA	100	50
00001535296	CLYNELISH 14	3050	2005,25
00002755560	PURO 25TL - ROCKS ST/CREME BLUE	25	12
00003610239	PURO 350TL - ITHAL PURO	350	180
00003927771	TOSCANELLO T200	300	218
00004019327	TOSCANELLO T08	75	44
00008443086	PURO 60TL - ROCKS DEMI TESSE	60	30,4655
039383009591	MINCHTERS SINGLE BARREL	4250	2995,2
039383009614	MINCHTERS SMALL BATCH	4250	2995,2
048415520577	LOT NO:40	2100	1259,86
048415520584	PIKE CREEK	1400	867,64
0721733000715	PATRON ANEJO	3150	2056,07
0721733000722	PATRON REPOSADO	2950	2025,7
0721733000739	PATRON SILVER	2690	1719,63
080432115213	OLMECA 50CL	875	752,332
080432115237	OLMECA 1LT	1600	1321,61
080432115244	OLMECA 35CL	625	530,218
080432115251	OLMECA 70 CL	1150	902,807
080432115299	OLMECA GOLD 35CL	675	535,948
080432115305	OLMECA GOLD 70CL	1250	1074,77
080432400340	CHIVAS REGAL 5CL	300	179,4
080432400432	CHIVAS REGAL 1LT	2100	1805,6
080432402702	CHIVAS REGAL 35 CL	850	773,214
080432402733	CHIVAS REGAL 50CL	1175	1010,28
080432402825	GLENLIVET 12	2250	1604,98
080432402931	CHIVAS REGAL 70 CL	1550	1332,72
080432403105	GLENLIVET 18Y	5500	3932,24
080686002673	HIBIKI BLOSSOM HARMONY	18000	11682,2
080686003205	JIM BEAM BLACK	2450	1770,83
080686934073	HIBIKI MASTER	10000	5925,9
082184038734	GENTLEMAN JACK 100 CL	2100	1516,09
082184083598	JACK DANIELS 3LT	6250	4578,61
082184088654	JACK DANIELS SINGLE BARREL 70CL	2750	2045,52
0856724006107	CASAMIGOS TEKILA	2750	2090
0856724006336	CASAMIGOS MEZCAL	3000	1923,75
086724166017	SAKE 1.5 LT	2300	1829,35
088004023492	FIREBALL 70CL	1350	1080
1210000100443	SOUTHERN COMFORT	1350	991,8
1230000089005	WHISTLEPIG 10Y RYE	3575	2892,04
1230000089012	WHISTLEPIG 12Y RYE	5500	4438,94
1230000089029	WHISTLEPIG 15Y RYE	9150	7381,42
3018300004663	GRAND MARNIER PORTAKAL	2695	1594,9
3024482270109	REMY MARTIN	3300	2618,18
3035540001740	PASSAO PASSION FRUIT	1075	794,626
3035542001908	COINTREAU 100CL	2950	1905,65
3047100017849	ABERLOUR 12Y	2600	1886,21
3185370000335	MOET 75CL	3500	2200
3185370074831	MOET ROSE 75	4500	3893,81
3211209999027	LES COMBES	650	396,24
3219820000078	MARTELL  VS 70CL	2500	1719,62
3219820005899	MARTELL VSOP COGNAC	3300	2278,5
3245990250203	HENNESSY VERY SPECIAL	2080	1663,72
3245990969402	HENNESSY VSOP	2820	2329,21
3263280105552	JP. CHENET BRANDY	1750	1083,6
3263280112420	JULES LAROSE CIE ARMAGNAC	1600	1062,96
3263280119924	LOTHAIRE FUME	2500	1744,08
3263280121620	JAMES KILTON 70CL	1850	1465,44
3263286301323	JP CHRNET CABARNET SYRAH	625	442,8
3263286328993	JP CHENET MERLOT 75 CL	625	482,16
3263286346683	JP. CHENET COLOMBARD CHARDONNAY	540	290
3263286355906	JP. CHENET SAUVIGNON BLANC	540	391,867
3263289990203	JP. CHENET CHARDONAY	540	424,76
3263289998711	JP CHENET SHIRAZ	625	482,16
3328640124250	MUIRHEAD S 70CL	1000	697,291
3364610034334	CHATEAU BEL AIR MERLOT	1000	482,998
3433330082717	VINART SAU.BLANC	725	314,82
3460410524423	PLANTATION ORIGINAL	1575	1200
3460410531650	PLANTATION FIJI	1800	1620
3500610035111	JP CHENET MEDIUM SWEET	625	442,8
3500610063190	JP CHENET MERLOT ROSE	625	454,046
3500610090387	JP CHENET CABERNET SAUVIGNON	625	474,288
3570590109713	LEGENDAIRE JAUNE	2750	1898,88
3570590109720	LEGENDAIRE PAILLE	2750	1898,88
3700597306451	ICHIROS	6000	4320
3770011363049	LA FOLIE	750	429
3770011363063	CLAUD BELLEVUE	975	647,4
4006599000359	SAKE 70CL	1250	967,529
4006714001193	CEMIYET KANYAK 35 CL	595	310
4006714002091	CEMIYET KANYAK 70CL	1075	520,13
4008669013009	PUSCHKIN NUTS NOUGAT	750	447,641
4008669023022	PUSCHKIN BLACK BERRIES	750	447,641
4008669141023	PUSCHKIN BLUEBERRY	750	401,612
4008669144024	PUSCHKIN ICE MINT	750	447,641
4008669197358	PUSCHKIN VOTKA 35CL	480	284,481
4008669219722	PUSCHKIN 70CL	860	0
4008669219739	PUSCHKIN VOTKA 50CL	650	339
4008669390209	PUSCHKIN WATERMELON	750	429,907
4066600611349	PAULANER SALVATOR	125	110,467
4067700014900	JAGER 100 CL	1700	1286,36
4067700014917	JAGER 70 CL	1200	918,635
4067700014924	JAGER 35 CL	650	526,972
4067700017116	JAGER 50 CL	900	736,363
4067700018939	JAGER MANIFEST	2500	1697,5
4067700028143	JAGERMEISTER MANIFEST 50CL	1350	1072,72
4067700029751	JAGER COLD BREW	1275	1070,55
4067700032782	JAGER ORANGE	1250	954,54
4105120033917	WEIHENSTEPHANER	110	98,4517
4105120152410	WEIHENSTEPHANER VITUS	130	116,422
4573286170430	AMAHAGAN	7300	5760
4589858890897	MINOKI MIZUNARA RUM	3250	2386,2
4602486003078	GREEN BABOON GIN	1800	762,617
4603928000976	BELUGA VODKA	3100	1790,51
46089953	KENT SWITCH	81	77,2722
4710085230471	KAVALAN NO:1	3700	2910,6
4710085236749	KAVALAN NO:2	4250	3027,02
4820229034633	PERVAK WHEAT 35CL	450	363,505
